Date,Company,Title,Job Link,criteria
2022-01-15,Intel Corporation,Platform Supply Analyst,https://www.linkedin.com/jobs/view/platform-supply-analyst-at-intel-corporation-2878575723?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=IGT3u1ghZp3SI4aFg25V6g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Management and Manufacturing
Industries
IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
2022-01-26,Intel Corporation,Platform Supply Analyst,https://www.linkedin.com/jobs/view/platform-supply-analyst-at-intel-corporation-2892834066?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=c96dZj71XqM8FwTfci3tgg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Management and Manufacturing
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-01-10,Kaiser Permanente,Supervisor Support Services,https://www.linkedin.com/jobs/view/supervisor-support-services-at-kaiser-permanente-2905079125?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=JgbhRXRVvq0x2keWGr2HSA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Management and Manufacturing
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-02-02,Dignity Health,Communications Specialist,https://www.linkedin.com/jobs/view/communications-specialist-at-dignity-health-2903053483?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=lk6XlVUpBts84jcxvwaQFg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Information Technology
          
        
        
          
            Industries
          
          
          Financial Services, Wellness and Fitness Services, and Hospitals and Health Care
          
        
    "
2022-01-26,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2892832181?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=KG7au1ed783UBSWLQjc7Pw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Marketing, Public Relations, and Writing/Editing
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-02-01,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2900904716?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=qg97jtryY4Bc1%2B79KNtU%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Business Development and Sales
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-02-05,Dignity Health,Medical Office Representative,https://www.linkedin.com/jobs/view/medical-office-representative-at-dignity-health-2907227971?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=l26%2B3yI7VgT4LgNp4J%2FqPQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Business Development and Sales
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-02-05,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2907251648?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Ib%2FDo0vyMiM3oDSA%2FisnYw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Sales and Business Development
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-02-02,Kaiser Permanente,Medical Assistant,https://www.linkedin.com/jobs/view/medical-assistant-at-kaiser-permanente-2903626520?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=CpshqW6u8wTHwmRS0bHytg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Business Development and Sales
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-01-20,Intel Corporation,Americas Customer Enablement and Customer Program Analyst,https://www.linkedin.com/jobs/view/americas-customer-enablement-and-customer-program-analyst-at-intel-corporation-2884909824?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=LxNPZZyN%2F2j%2BGAN2PRF2kA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Health Care Provider
          
        
        
          
            Industries
          
          
          Financial Services, Wellness and Fitness Services, and Hospitals and Health Care
          
        
    "
