Company,Location,zip,city,Title,Job Link,Job Board
The Home Depot,"Rancho Cordova, CA 95742",,Rancho Cordova,Cashier,https://www.indeed.com/viewjob?jk=3c2cbd8d90c76b64,Indeed
Scooter's Coffee,"Rancho Cordova, CA 95742",95742.0,Rancho Cordova,Barista- Rancho Cordova,https://www.indeed.com/viewjob?jk=41869b356173f722,Indeed
FedEx Ground PH US,"Sacramento, CA 95824",95824.0,Sacramento,Warehouse Package Handler,https://www.indeed.com/viewjob?jk=b91d9d3c8f31d741,Indeed
"Pacful, Inc.","Rancho Cordova, CA 95742",95742.0,Rancho Cordova,Picker/Packer,https://www.indeed.com/viewjob?jk=e3e5b4497961223b,Indeed
Quick Quack Car Wash,"Rancho Cordova, CA",,Rancho Cordova,Team Member,https://www.indeed.com/viewjob?jk=3fd5ace3ed8422ea,Indeed
Chick-fil-A Rivergate Cordova,"Gold River, CA 95670",95670.0,Gold River,Chick-fil-A Team Member,https://www.indeed.com/viewjob?jk=06ac30a962584a27,Indeed
"Sierra Pacific Home & Comfort, Inc.","Rancho Cordova, CA 95742",95742.0,Rancho Cordova,Front Desk Receptionist,https://www.indeed.com/viewjob?jk=2792aacb5011efe5,Indeed
Five Guys Burgers and Fries,"Gold River, CA 95670",95670.0,Gold River,Restaurant Crew Member/Team Member,https://www.indeed.com/viewjob?jk=d753b5c1baede06e,Indeed
Quick Quack Car Wash,"Roseville, CA",,Roseville,Marketing Data Analyst,https://www.indeed.com/viewjob?jk=62009a40a225b25a,Indeed
Sysco Sacramento,"Sacramento, CA",,Sacramento,Warehouse Order Selector,https://www.indeed.com/viewjob?jk=4c3e025cec905cbf,Indeed
Kinder World Preschool,"Rancho Cordova, CA 95670",95670.0,Rancho Cordova,Office Assistant,https://www.indeed.com/viewjob?jk=149840af0001fa94,Indeed
The Home Depot,"Rancho Cordova, CA 95742",,Rancho Cordova,Freight/Receiving,https://www.indeed.com/viewjob?jk=46a3bca025e13da3,Indeed
