,Date,Company,Title,Job Link,Seniority level,Employment type,Job function,Industries
0,2022-01-15,Intel Corporation,Platform Supply Analyst,https://www.linkedin.com/jobs/view/platform-supply-analyst-at-intel-corporation-2878575723?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=IGT3u1ghZp3SI4aFg25V6g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
1,2022-01-26,Intel Corporation,Platform Supply Analyst,https://www.linkedin.com/jobs/view/platform-supply-analyst-at-intel-corporation-2892834066?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=c96dZj71XqM8FwTfci3tgg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
2,2022-01-10,Kaiser Permanente,Supervisor Support Services,https://www.linkedin.com/jobs/view/supervisor-support-services-at-kaiser-permanente-2905079125?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=JgbhRXRVvq0x2keWGr2HSA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Financial Services, Wellness and Fitness Services, and Hospitals and Health Care"
3,2022-02-02,Dignity Health,Communications Specialist,https://www.linkedin.com/jobs/view/communications-specialist-at-dignity-health-2903053483?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=lk6XlVUpBts84jcxvwaQFg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",Hospitals and Health Care
4,2022-01-26,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2892832181?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=KG7au1ed783UBSWLQjc7Pw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Business Development and Sales,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
5,2022-02-01,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2900904716?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=qg97jtryY4Bc1%2B79KNtU%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Business Development and Sales,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
6,2022-02-05,Dignity Health,Medical Office Representative,https://www.linkedin.com/jobs/view/medical-office-representative-at-dignity-health-2907227971?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=l26%2B3yI7VgT4LgNp4J%2FqPQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Sales and Business Development,Hospitals and Health Care
7,2022-02-05,Intel Corporation,Planning Analyst,https://www.linkedin.com/jobs/view/planning-analyst-at-intel-corporation-2907251648?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Ib%2FDo0vyMiM3oDSA%2FisnYw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Business Development and Sales,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
8,2022-02-02,Kaiser Permanente,Medical Assistant,https://www.linkedin.com/jobs/view/medical-assistant-at-kaiser-permanente-2903626520?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=CpshqW6u8wTHwmRS0bHytg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Health Care Provider,"Financial Services, Wellness and Fitness Services, and Hospitals and Health Care"
9,2022-01-20,Intel Corporation,Americas Customer Enablement and Customer Program Analyst,https://www.linkedin.com/jobs/view/americas-customer-enablement-and-customer-program-analyst-at-intel-corporation-2884909824?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=LxNPZZyN%2F2j%2BGAN2PRF2kA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Customer Service and Information Technology,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
10,2022-02-02,Dignity Health,Credentialing Coordinator,https://www.linkedin.com/jobs/view/credentialing-coordinator-at-dignity-health-2901940963?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=tXsb%2BAyNewWcAezJXY2kuw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Health Care Provider,Hospitals and Health Care
11,2022-02-02,Intel Corporation,Sr. Executive Administrative Assistant,https://www.linkedin.com/jobs/view/sr-executive-administrative-assistant-at-intel-corporation-2901987582?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=NQEp54QyX4ocBFPyynnfww%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Administrative,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
12,2022-02-04,Dignity Health,AR Payment Representative II,https://www.linkedin.com/jobs/view/ar-payment-representative-ii-at-dignity-health-2906293099?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=ITkV1ekZgMkOqNyppQvS9A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Contract,Accounting/Auditing and Finance,Hospitals and Health Care
13,2022-01-13,Intel Corporation,Marketing Learning and Engagement Specialist,https://www.linkedin.com/jobs/view/marketing-learning-and-engagement-specialist-at-intel-corporation-2875476254?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=KOJUaAh9D85Zc8WlCgrQxQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Marketing and Sales,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
14,2022-01-16,Dignity Health,Patient Logistics Coordinator,https://www.linkedin.com/jobs/view/patient-logistics-coordinator-at-dignity-health-2897784497?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=wvjFNsUCvdde30x%2Bv6YuRA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Management and Manufacturing,Hospitals and Health Care
15,2022-02-03,Tetra Tech,"Mechanical Designer - Sacramento, CA",https://www.linkedin.com/jobs/view/mechanical-designer-sacramento-ca-at-tetra-tech-2903412901?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=6wtJo7EnEemcLvNaYYCtDg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,"Renewable Energy Semiconductor Manufacturing, Civil Engineering, and Oil and Gas"
16,2022-02-05,Dignity Health,Medical Office Representative I Float,https://www.linkedin.com/jobs/view/medical-office-representative-i-float-at-dignity-health-2907593294?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=LoxPhgqmZXVADeVsX0%2FRnQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Sales and Business Development,Hospitals and Health Care
17,2022-01-13,Intel Corporation,Data Scientist (SK),https://www.linkedin.com/jobs/view/data-scientist-sk-at-intel-corporation-2875478242?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=TzMrm34xv4my5soA%2FD9ADQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
18,2022-02-03,Dignity Health,Pharmacy Clerk,https://www.linkedin.com/jobs/view/pharmacy-clerk-at-dignity-health-2903825399?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Mu7NkMmhDh%2BsoIzFAW1v%2Fg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Part-time,Health Care Provider,Hospitals and Health Care
19,2022-01-10,Half Price Books,Bookseller,https://www.linkedin.com/jobs/view/bookseller-at-half-price-books-2872108764?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Ccw9caXNjPpBEgr0tfZtwQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Sales and Business Development,Retail
